,Memory usage,FPR Prefix-BF,Multi-Prefix-BF (p=0.0),Multi-Prefix-BF (p=0.3),Multi-Prefix-BF (p=0.5),Multi-Prefix-BF (p=0.7)
0,81346,0.0841717,,,,0.0841717
1,162618,0.00745015,,,,0.00745015
2,243891,0.000650013,,,,0.000650013
3,325162,0.000110002,,,,0.000110002
4,406433,1.00002e-05,,,,1.00002e-05
5,487707,0.0,,,,0.0
6,568978,1.00002e-05,,,,1.00002e-05
7,650252,0.0,,,,0.0
8,731519,0.0,,,,0.0
9,812793,0.0,,,,0.0
10,894064,0.0,,,,0.0
11,975338,0.0,,,,0.0
12,1056610,0.0,,,,0.0
13,1137881,0.0,,,,0.0
14,1219155,0.0,,,,0.0
15,1300425,0.0,,,,0.0
16,1381697,0.0,,,,0.0
17,1462968,0.0,,,,0.0
18,1544241,0.0,,,,0.0
19,1625514,0.0,,,,0.0
20,1706784,0.0,,,,0.0
21,1788057,0.0,,,,0.0
22,1869328,0.0,,,,0.0
23,1950601,0.0,,,,0.0
24,2031872,0.0,,,,0.0
25,125076,,0.051101,,,
26,250074,,0.00259005,,,
27,375073,,0.000120002,,,
28,500073,,3.00006e-05,,,
29,625074,,1.00002e-05,,,
30,750078,,0.0,,,
31,875075,,0.0,,,
32,1000074,,0.0,,,
33,1125077,,0.0,,,
34,1250076,,0.0,,,
35,1375077,,0.0,,,
36,1500077,,0.0,,,
37,1625078,,0.0,,,
38,1750076,,0.0,,,
39,1875075,,0.0,,,
40,2000075,,0.0,,,
41,2125077,,0.0,,,
42,2250078,,0.0,,,
43,2375075,,0.0,,,
44,2500073,,0.0,,,
45,2625077,,0.0,,,
46,2750075,,0.0,,,
47,2875074,,0.0,,,
48,3000076,,0.0,,,
49,3125075,,0.0,,,
50,106335,,,0.0645313,,
51,212595,,,0.00395008,,
52,318853,,,0.000280006,,
53,425113,,,3.00006e-05,,
54,531371,,,3.00006e-05,,
55,637630,,,1.00002e-05,,
56,743889,,,0.0,,
57,850153,,,0.0,,
58,956408,,,0.0,,
59,1062669,,,0.0,,
60,1168929,,,0.0,,
61,1275189,,,0.0,,
62,1381445,,,0.0,,
63,1487708,,,0.0,,
64,1593966,,,0.0,,
65,1700228,,,0.0,,
66,1806486,,,0.0,,
67,1912744,,,0.0,,
68,2019002,,,0.0,,
69,2125261,,,0.0,,
70,2231519,,,0.0,,
71,2337779,,,0.0,,
72,2444040,,,0.0,,
73,2550298,,,0.0,,
74,2656560,,,0.0,,
75,93840,,,,0.0736415,
76,187606,,,,0.0052301,
77,281373,,,,0.00048001,
78,375136,,,,1.00002e-05,
79,468901,,,,1.00002e-05,
80,562668,,,,2.00004e-05,
81,656433,,,,1.00002e-05,
82,750198,,,,0.0,
83,843967,,,,0.0,
84,937730,,,,0.0,
85,1031496,,,,0.0,
86,1125264,,,,0.0,
87,1219028,,,,0.0,
88,1312793,,,,0.0,
89,1406558,,,,0.0,
90,1500323,,,,0.0,
91,1594091,,,,0.0,
92,1687857,,,,0.0,
93,1781623,,,,0.0,
94,1875385,,,,0.0,
95,1969150,,,,0.0,
96,2062917,,,,0.0,
97,2156685,,,,0.0,
98,2250452,,,,0.0,
99,2344215,,,,0.0,
