,Memory usage,FPR Prefix-BF,FPR Prefix-BF+Doubting,FPR Prefix-QF,FPR Prefix-QF+Doubting,FPR SuRFReal
0,125002,0.471998,0.0786057,,,
1,250002,0.226148,0.0129528,,,
2,375002,0.107037,0.00439505,,,
3,500002,0.050538,0.00165698,,,
4,625002,0.0225107,0.000616317,,,
5,750002,0.0115383,0.000333418,,,
6,875002,0.00581965,0.000181864,,,
7,1000002,0.00258651,8.08285e-05,,,
8,1125002,0.00123263,7.07249e-05,,,
9,1250002,0.000666835,2.02071e-05,,,
10,1375002,0.000293003,0.0,,,
11,1500002,7.07249e-05,0.0,,,
12,1625002,9.09321e-05,1.01036e-05,,,
13,1750002,6.06214e-05,0.0,,,
14,1875002,3.03107e-05,0.0,,,
15,2000002,1.01036e-05,1.01036e-05,,,
16,2125002,0.0,0.0,,,
17,2250002,0.0,0.0,,,
18,2375002,0.0,0.0,,,
19,2500002,0.0,0.0,,,
20,2625002,0.0,0.0,,,
21,2750002,0.0,0.0,,,
22,2875002,0.0,0.0,,,
23,3000002,0.0,0.0,,,
24,3125002,0.0,0.0,,,
25,524288,,,0.261884,0.0177924,
26,655360,,,0.140662,0.00621369,
27,786432,,,0.0724122,0.00263703,
28,917504,,,0.0367264,0.00123263,
29,1048576,,,0.0187825,0.000616317,
30,1179648,,,0.00961859,0.00031321,
31,1310720,,,0.00462743,0.000151553,
32,1441792,,,0.00221268,6.06214e-05,
33,1572864,,,0.00106087,3.03107e-05,
34,1703936,,,0.000394039,0.0,
35,1835008,,,0.000212175,0.0,
36,1966080,,,0.000101036,0.0,
37,221111,,,,,0.500621
38,233615,,,,,0.500621
39,246119,,,,,0.49659
40,258623,,,,,0.49659
41,271119,,,,,0.314686
42,283615,,,,,0.226724
43,296119,,,,,0.178621
44,308615,,,,,0.1522
45,321119,,,,,0.138681
