,Memory usage,FPR Prefix-BF,FPR Prefix-BF+Doubting,FPR Prefix-QF,FPR Prefix-QF+Doubting,FPR SuRFReal
0,125002,0.478013,0.057564,,,
1,250002,0.232196,0.00393028,,,
2,375002,0.112128,0.000490034,,,
3,500002,0.0543838,7.00049e-05,,,
4,625002,0.0251418,5.00035e-05,,,
5,750002,0.0125309,1.00007e-05,,,
6,875002,0.0056904,0.0,,,
7,1000002,0.0029002,0.0,,,
8,1125002,0.00173012,0.0,,,
9,1250002,0.000480034,0.0,,,
10,1375002,0.000390027,0.0,,,
11,1500002,0.000120008,0.0,,,
12,1625002,9.00063e-05,0.0,,,
13,1750002,3.00021e-05,0.0,,,
14,1875002,4.00028e-05,0.0,,,
15,2000002,0.0,0.0,,,
16,2125002,0.0,0.0,,,
17,2250002,0.0,0.0,,,
18,2375002,0.0,0.0,,,
19,2500002,0.0,0.0,,,
20,2625002,0.0,0.0,,,
21,2750002,0.0,0.0,,,
22,2875002,0.0,0.0,,,
23,3000002,0.0,0.0,,,
24,3125002,0.0,0.0,,,
25,1310720,,,0.0751353,0.000200014,
26,1572864,,,0.0379527,6.00042e-05,
27,1835008,,,0.0186813,4.00028e-05,
28,2097152,,,0.00910064,2.00014e-05,
29,2359296,,,0.00442031,2.00014e-05,
30,2621440,,,0.00226016,0.0,
31,2883584,,,0.00116008,0.0,
32,3145728,,,0.000590041,0.0,
33,3407872,,,0.000300021,0.0,
34,3670016,,,0.000120008,0.0,
35,3932160,,,9.00063e-05,0.0,
36,211393,,,,,0.158661
37,223897,,,,,0.158661
38,274040,,,,,0.158651
39,286536,,,,,0.158651
40,299040,,,,,0.0811657
41,311544,,,,,0.0439031
42,324040,,,,,0.0228816
43,336544,,,,,0.0117108
44,349040,,,,,0.00622044
